doc_id	sentence_id	token_index	token	surprisal_bits	entropy_bits	pred_top	pred_next_1	pred_next_2	pred_next_3
demo4	2	1	a	0.779741	2.117096	a			
demo4	2	2	pris	6.514206	4.910085	cueilli			
demo4	2	3	la	2.507994	3.007006	sa			
demo4	2	4	pomme	9.425542	7.983945	pilule			
demo4	2	5	.	3.211673	8.366062	.			
demo4	2	6	Elle	3.568265	7.572028	Elle			
demo4	2	7	l	0.883449	2.389390	l			
demo4	2	8	'	0.843585	2.049706	'			
demo4	2	9	a	2.977205	2.688515	avait			
demo4	2	10	prise	6.590382	7.516482	consommée			
demo4	2	11	.	6.047871	7.257701	délicatement			
demo4	3	0	Marie	8.486617	8.328942	Elle			
demo4	3	1	a	0.833452	2.310307	a			
demo4	3	2	pris	5.454400	5.140853	cueilli			
demo4	3	3	la	2.246833	3.240518	sa			
demo4	3	4	pomme	9.669741	8.204007	pilule			
demo4	3	5	.	3.187215	8.385227	.			
demo4	3	6	Elle	4.062830	7.417680	Jésus			
demo4	3	7	l	0.423802	1.791311	l			
demo4	3	8	'	0.947004	2.235576	'			
demo4	3	9	a	3.823357	2.704590	a			
demo4	3	10	pris	9.174002	7.516482	consommée			
demo4	3	11	.	5.279055	7.826260	délicatement			
demo5	1	0	Le	4.051096	2.760536	Votre			
demo5	1	1	chat	9.961864	10.972236	soleil			
demo5	1	2	est	6.832366	7.876395	dort			
demo5	1	3	sur	3.574593	6.864732	derrière			
demo5	1	4	le	2.343389	2.827180	son			
demo5	1	5	tapis	6.348065	6.213747	canapé			
demo5	1	6	.	11.131192	4.115350	rouge			
demo5	2	0	Le	4.203393	3.520122	Votre			
demo5	2	1	chat	9.934354	11.103849	soleil			
demo5	2	2	est	7.138603	8.436514	dort			
demo5	2	3	sur	7.545530	8.751110	naturellement			
demo5	2	4	la	10.506701	2.827180	son			
demo5	2	5	tapis	13.181846	7.619236	défensive			
demo5	2	6	.	9.747521	6.659263	rouge			
demo5	3	0	Le	4.491250	9.394672	Mon			
demo5	3	1	chat	11.726956	9.736785	débat			
demo5	3	2	est	7.916597	9.584868	revient			
demo5	3	3	sur	8.814318	7.375412	typiquement			
demo5	3	4	le	2.921694	5.662722	ce			
demo5	3	5	concept	15.524871	6.213747	canapé			
demo5	3	6	.	9.198260	10.226376	suivant			
demo5	4	0	Le	1.917493	4.022574	Le			
demo5	4	1	concept	11.172545	10.972236	soleil			
demo5	4	2	est	6.159206	8.942037	revient			
demo5	4	3	sur	7.887027	6.940029	essentiellement			
demo5	4	4	le	2.371701	6.082960	le			
demo5	4	5	tapis	7.923443	6.623690	marché			
demo5	4	6	.	9.320349	3.200079	rouge			
demo5	5	0	Le	3.077733	4.040727	Votre			
demo5	5	1	tapis	12.687858	9.219192	message			
demo5	5	2	est	8.559255	8.950248	roulant			
demo5	5	3	sur	8.258275	7.630558	appelé			
demo5	5	4	le	3.597858	7.853638	le			
demo5	5	5	chat	13.051540	7.068362	canapé			
demo5	5	6	.	8.230288	10.360128	:			
demo5	6	0	Le	3.795227	2.604749	Votre			
demo5	6	1	chat	9.271396	9.824891	tapis			
demo5	6	2	est	8.107449	6.696711	dormait			
demo5	6	3	sous	4.573677	6.864732	derrière			
demo5	6	4	le	3.011058	6.133554	son			
demo5	6	5	tapis	5.331486	6.643885	choc			
demo5	6	6	.	10.707493	5.889444	roulant			
demo5	7	0	Le	3.986469	2.638351	Votre			
demo5	7	1	chat	8.940720	10.801636	soleil			
demo5	7	2	est	7.357872	7.666325	dormait			
demo5	7	3	dans	4.836511	6.864732	derrière			
demo5	7	4	le	2.051821	2.790585	son			
demo5	7	5	tapis	8.760690	7.313253	canapé			
demo5	7	6	.	10.359555	6.081084	rouge			
demo5	8	0	Le	4.045195	2.726165	Votre			
demo5	8	1	chat	8.966223	9.768420	carrelage			
demo5	8	2	est	7.662470	7.303878	dort			
demo5	8	3	sur	3.376727	6.640999	sous			
demo5	8	4	la	1.895063	4.632135	la			
demo5	8	5	moquette	6.400875	7.619236	défensive			
demo5	8	6	.	6.326094	9.132142	...			
demo5	9	0	Le	5.121058	3.175898	Votre			
demo5	9	1	chat	11.072132	10.057192	problème			
demo5	9	2	est	7.783770	10.094884	perché			
demo5	9	3	sur	11.599022	3.352453	surnommé			
demo5	9	4	le	3.985910	9.580944	le			
demo5	9	5	ki	12.669207	8.586843	canapé			
demo5	9	6	lim	7.712177	10.283681	kou			
demo5	9	7	.	8.158245	10.843814	...			
demo5	10	0	Le	5.384128	5.194316	Votre			
demo5	10	1	chat	8.444369	10.125686	téléchargement			
demo5	10	2	est	6.403778	10.326994	assis			
demo5	10	3	sur	10.303941	8.005854	né			
demo5	10	4	le	7.214712	7.798923	Facebook			
demo5	10	5	.	14.857562	6.482848	canapé			
